City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Carnarvon,AU,-24.8667,113.6333,73.47,78,0,13.8,clear sky
69,Jamestown,US,42.097,-79.2353,26.19,65,100,12.66,light snow
70,Cabo San Lucas,MX,22.8909,-109.9124,80.62,53,0,4.61,clear sky
71,El Campo,US,29.1966,-96.2697,65.8,39,75,13.8,broken clouds
72,Georgetown,MY,5.4112,100.3354,80.53,89,20,6.91,few clouds
73,Griffith,US,41.5284,-87.4237,51.73,59,0,16.11,clear sky
74,Vaini,TO,-21.2,-175.2,82.56,83,20,3.44,few clouds
75,Mount Isa,AU,-20.7333,139.5,74.97,78,32,0.0,light rain
76,Kapaa,US,22.0752,-159.319,80.11,68,75,11.5,broken clouds
77,Mataura,NZ,-46.1927,168.8643,50.49,92,12,1.05,few clouds
78,Cedar City,US,37.6775,-113.0619,54.57,24,20,17.27,few clouds
79,Panaba,MX,21.2833,-88.2667,75.0,56,100,14.63,overcast clouds
80,Port Alfred,ZA,-33.5906,26.891,68.11,91,100,10.85,light rain
81,Soro,IN,21.2881,86.6858,72.63,34,87,5.46,overcast clouds
82,Mecca,SA,21.4267,39.8261,71.85,59,4,6.53,clear sky
83,Torbay,CA,47.6666,-52.7314,33.76,87,89,15.01,overcast clouds
84,Point Fortin,TT,10.1833,-61.6833,85.89,70,99,11.83,overcast clouds
85,Kirakira,SB,-10.4544,161.9205,79.81,81,95,3.87,overcast clouds
86,Faanui,PF,-16.4833,-151.75,81.32,73,87,10.27,overcast clouds
87,Grong,NO,64.4654,12.3149,34.88,84,100,5.41,overcast clouds
88,Winslow,US,35.0242,-110.6974,64.58,15,0,21.85,clear sky
89,Souillac,MU,-20.5167,57.5167,78.46,86,98,14.41,light rain
90,Jutai,BR,-5.1833,-68.9,80.28,71,100,2.06,overcast clouds
91,Mezen,RU,65.8522,44.24,15.58,98,94,5.88,overcast clouds
92,Airai,TL,-8.9266,125.4092,59.99,93,99,2.51,overcast clouds
93,Katsuura,JP,35.1333,140.3,64.42,80,100,27.69,overcast clouds
94,Strezhevoy,RU,60.7333,77.5889,-5.48,100,100,2.51,overcast clouds
95,Totton,GB,50.9188,-1.4904,48.02,86,20,1.14,few clouds
96,Bredasdorp,ZA,-34.5322,20.0403,59.65,60,100,13.94,overcast clouds
97,Ponta Do Sol,PT,32.6667,-17.1,63.23,61,25,17.87,scattered clouds
98,Khatanga,RU,71.9667,102.5,-4.88,98,100,10.63,light snow
99,North Bend,US,43.4065,-124.2243,51.24,94,100,13.8,mist
100,Iqaluit,CA,63.7506,-68.5145,-16.31,62,59,5.99,broken clouds
101,Sibolga,ID,1.7427,98.7792,76.48,89,99,3.31,overcast clouds
102,Kirksville,US,40.1948,-92.5833,53.55,43,0,9.22,clear sky
103,Longyearbyen,SJ,78.2186,15.6401,26.44,80,0,6.91,clear sky
