City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2022-03-13 02:41:11,57.79,-152.4072,40.51,81,100,6.91
1,Albany,US,2022-03-13 02:37:09,42.6001,-73.9662,19.76,63,80,3.0
2,Castro,BR,2022-03-13 02:41:12,-24.7911,-50.0119,61.14,99,100,7.58
3,Bredasdorp,ZA,2022-03-13 02:41:12,-34.5322,20.0403,61.92,77,1,3.44
4,Nanortalik,GL,2022-03-13 02:41:12,60.1432,-45.2371,13.87,69,100,31.56
5,Hambantota,LK,2022-03-13 02:41:13,6.1241,81.1185,75.54,100,20,3.44
6,Arraial Do Cabo,BR,2022-03-13 02:41:13,-22.9661,-42.0278,77.07,90,100,1.66
7,Clonakilty,IE,2022-03-13 02:41:14,51.6231,-8.8706,47.41,86,50,25.72
8,Rikitea,PF,2022-03-13 02:41:14,-23.1203,-134.9692,79.99,71,44,13.35
9,Pandan,PH,2022-03-13 02:41:15,14.0453,124.1694,81.36,82,55,8.43
10,Cape Town,ZA,2022-03-13 02:40:30,-33.9258,18.4232,65.12,89,64,3.51
11,Cidreira,BR,2022-03-13 02:41:15,-30.1811,-50.2056,70.2,68,100,7.74
12,Carnarvon,AU,2022-03-13 02:41:15,-24.8667,113.6333,84.27,45,0,16.11
13,General Roca,AR,2022-03-13 02:41:16,-39.0333,-67.5833,62.62,57,6,14.7
14,Dingle,PH,2022-03-13 02:41:16,10.9995,122.6711,86.74,67,97,6.06
15,Busselton,AU,2022-03-13 02:41:17,-33.65,115.3333,78.06,53,69,5.41
16,Hobart,AU,2022-03-13 02:40:34,-42.8794,147.3294,77.27,42,20,5.75
17,Punta Arenas,CL,2022-03-13 02:41:17,-53.15,-70.9167,46.51,71,100,11.5
18,Butaritari,KI,2022-03-13 02:41:17,3.0707,172.7902,81.57,78,21,20.15
19,Kununurra,AU,2022-03-13 02:40:27,-15.7667,128.7333,93.18,52,27,2.3
20,Saint George,US,2022-03-13 02:36:35,37.1041,-113.5841,63.19,20,0,3.44
21,Port Alfred,ZA,2022-03-13 02:41:18,-33.5906,26.891,72.18,86,38,11.9
22,Barrow,US,2022-03-13 02:41:19,71.2906,-156.7887,-16.58,69,0,6.91
23,New Norfolk,AU,2022-03-13 02:41:19,-42.7826,147.0587,76.91,20,8,1.99
24,Iqaluit,CA,2022-03-13 02:41:19,63.7506,-68.5145,-24.07,76,0,2.3
25,Kapaa,US,2022-03-13 02:41:20,22.0752,-159.319,80.58,68,20,12.66
26,Nalut,LY,2022-03-13 02:41:20,30.3333,10.85,51.28,24,58,8.19
27,Augusto Correa,BR,2022-03-13 02:41:20,-1.0217,-46.635,73.72,95,100,1.95
28,Sur,OM,2022-03-13 02:41:21,22.5667,59.5289,79.14,42,6,3.83
29,Qaanaaq,GL,2022-03-13 02:41:21,77.484,-69.3632,-15.72,70,14,5.3
30,Mataura,NZ,2022-03-13 02:41:22,-46.1927,168.8643,64.47,38,0,2.53
31,Talara,PE,2022-03-13 02:41:22,-4.5772,-81.2719,78.04,83,100,3.4
32,Tilichiki,RU,2022-03-13 02:41:23,60.4667,166.1,17.4,83,6,7.43
33,Dubrovnik,HR,2022-03-13 02:41:23,42.6481,18.0922,40.64,33,0,5.75
34,Vanimo,PG,2022-03-13 02:41:23,-2.6741,141.3028,86.16,68,87,8.66
35,Bonthe,SL,2022-03-13 02:41:24,7.5264,-12.505,75.6,93,86,4.74
36,Torbay,CA,2022-03-13 02:36:57,47.6666,-52.7314,48.27,96,100,32.21
37,Karabuk,TR,2022-03-13 02:41:24,41.2049,32.6277,19.76,90,45,1.95
38,Lang Suan,TH,2022-03-13 02:41:25,9.9456,99.0785,86.38,65,93,3.29
39,Kavieng,PG,2022-03-13 02:41:25,-2.5744,150.7967,85.32,68,75,8.52
40,Mar Del Plata,AR,2022-03-13 02:41:26,-38.0023,-57.5575,63.09,78,0,5.75
41,Great Yarmouth,GB,2022-03-13 02:41:26,52.6083,1.7305,48.45,90,100,19.93
42,Georgetown,MY,2022-03-13 02:41:26,5.4112,100.3354,87.73,79,20,5.75
43,Praia Da Vitoria,PT,2022-03-13 02:41:27,38.7333,-27.0667,55.76,71,20,16.55
44,Port Elizabeth,ZA,2022-03-13 02:41:27,-33.918,25.5701,73.69,78,0,21.85
45,Byron Bay,AU,2022-03-13 02:40:35,-28.65,153.6167,71.94,64,41,10.45
46,Alofi,NU,2022-03-13 02:41:27,-19.0595,-169.9187,73.29,94,100,9.22
47,Clyde River,CA,2022-03-13 02:41:28,70.4692,-68.5914,-25.37,68,40,4.61
48,Namibe,AO,2022-03-13 02:41:28,-15.1961,12.1522,72.09,84,100,6.08
49,Havoysund,NO,2022-03-13 02:41:28,70.9963,24.6622,35.1,89,82,11.81
50,Ushuaia,AR,2022-03-13 02:41:29,-54.8,-68.3,49.66,53,75,13.8
51,Jian,CN,2022-03-13 02:41:29,27.1172,114.9793,80.8,50,56,9.62
52,Hermanus,ZA,2022-03-13 02:41:30,-34.4187,19.2345,64.67,83,5,11.63
