City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Dabola,GN,87.66,overcast clouds,10.75,-11.1167,Hotel Tinkisso
367,Nohar,IN,77.58,clear sky,29.1833,74.7667,Hotel Eva Inn
368,Ughelli,NG,79.68,broken clouds,5.4899,6.0074,Prestige Hotel
377,Lazaro Cardenas,MX,81.88,clear sky,17.9583,-102.2,quinta antigua
378,Cotonou,BJ,83.35,clear sky,6.3654,2.4183,Novotel Cotonou Orisha
384,Maumere,ID,80.04,broken clouds,-8.6199,122.2111,Sylvia Hotel
387,Dingle,PH,76.53,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
388,Mombasa,KE,77.47,overcast clouds,-4.0547,39.6636,"CityBlue Creekside Hotel & Suites, Mombasa"
390,Kavieng,PG,81.61,light rain,-2.5744,150.7967,Nusa Island Retreat
394,Richards Bay,ZA,77.47,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
396,Bubaque,GW,75.83,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
397,Makakilo City,US,80.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
407,Daru,PG,80.33,broken clouds,-9.0763,143.2092,Daru Lodge
411,Namatanai,PG,80.04,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
413,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
418,Pisco,PE,78.85,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
425,Dholka,IN,79.18,clear sky,22.7167,72.4667,jalalpur godhaneshwer
431,Carayao,PY,85.91,clear sky,-25.1833,-56.4,Familia Gimenez
440,Champerico,GT,85.69,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
447,Mayumba,GA,77.94,overcast clouds,-3.432,10.6554,LIKWALE LODGE
449,Samarai,PG,83.19,scattered clouds,-10.6167,150.6667,Nuli Sapi
450,Sompeta,IN,77.27,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
451,Mabaruma,GY,76.33,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
456,Miranda,CO,80.94,few clouds,3.2499,-76.2281,unidiversidad organica la utopia
457,Hobyo,SO,78.96,broken clouds,5.3505,48.5268,Iftin hotel hobyo
458,Maputo,MZ,79.23,clear sky,-25.9653,32.5892,Pestana Rovuma
459,Quatre Cocos,MU,78.1,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
464,Vanimo,PG,76.95,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
466,Mulchen,CL,89.46,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
470,Correntina,BR,84.7,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
474,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
480,Kimbe,PG,75.58,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
482,Alim,PH,80.15,few clouds,9.5649,122.4876,Calamai Tropica
484,Buala,SB,79.25,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
487,Wailuku,US,84.38,scattered clouds,20.8911,-156.5047,Maui Beach Hotel
488,Padang,ID,77.52,moderate rain,-0.9492,100.3543,Mercure Padang
492,Veraval,IN,78.91,clear sky,20.9,70.3667,Lords Inn Somnath
495,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
496,Waingapu,ID,78.98,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
497,Muisne,EC,81.86,scattered clouds,0.6,-80.0333,Quinta Samay
498,Grand Gaube,MU,78.39,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
501,Port Keats,AU,77.36,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
503,Bombo,ID,78.3,overcast clouds,-8.6131,119.0131,Losmen Mustika
510,Palora,EC,78.91,light rain,-1.7,-77.9333,Rancho grande
515,Tual,ID,83.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
522,General Pico,AR,81.97,scattered clouds,-35.6566,-63.7568,Euskadi Hotel
525,Ugoofaaru,MV,82.65,broken clouds,5.6667,73.0,Ungoofaaru Inn
526,Totness,SR,80.19,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
528,Farafangana,MG,75.33,light rain,-22.8167,47.8333,Miarina
